year,total_rooms,bedrooms,n_weeks_old,living_area,other_area,total_area,monthly_contrib,n_photos,n_photos_360,other_indoor_space,located_on,own_ground,flg_missing_year,flg_missing_total_rooms,flg_missing_bedrooms,flg_missing_n_weeks_old,flg_missing_living_area,flg_missing_other_area,flg_missing_total_area,flg_missing_monthly_contrib,flg_missing_n_photos,flg_missing_n_photos_360,flg_missing_type_of_construction,flg_missing_other_indoor_space,flg_missing_located_on,flg_missing_own_ground,living_area**2,living_area*n_photos,living_area*own_ground,sqrt(living_area)*year**3,living_area**3*monthly_contrib,flg_missing_total_area*living_area,flg_missing_n_weeks_old*living_area**2,flg_missing_monthly_contrib*living_area,flg_missing_type_of_construction*own_ground,flg_missing_own_ground*flg_missing_total_rooms,flg_missing_type_of_construction*sqrt(n_photos),flg_missing_monthly_contrib*flg_missing_other_area,living_area*total_rooms,sqrt(located_on)*own_ground,flg_missing_located_on*living_area,flg_missing_n_photos_360*living_area,flg_missing_other_indoor_space*living_area**2,flg_missing_monthly_contrib*flg_missing_n_photos,flg_missing_own_ground*living_area**2,flg_missing_other_indoor_space*living_area,flg_missing_other_area*located_on,flg_missing_n_weeks_old*living_area,flg_missing_other_area*living_area**2,flg_missing_living_area*year**3,flg_missing_own_ground*n_photos,flg_missing_other_area*living_area,flg_missing_n_photos*living_area**3,flg_missing_n_photos_360*flg_missing_other_indoor_space,id,price_category,zipcode,type_of_construction,energy_label
1980.0,4.0,3.0,3.0,110.0,2.0,0.0,0.0,32.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12100.0,3520.0,110.0,81412654125.652,0.0,110.0,0.0,110.0,0.0,0.0,0.0,0.0,440.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,200K-300K,3069,Bestaande bouw,C
1984.0,4.0,3.0,24.0,84.0,5.0,0.0,92.0,20.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,7056.0,1680.0,0.0,71575542184.5052,54528768.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,84.0,7056.0,0.0,7056.0,84.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,27,100K-150K,3079,Bestaande bouw,C
1979.0,2.0,1.0,0.0,53.0,0.0,0.0,202.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2809.0,954.0,0.0,56425487171.814804,30073154.0,53.0,2809.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,53.0,2809.0,0.0,0.0,53.0,1.0,53.0,2809.0,0.0,0.0,53.0,0.0,1.0,29,< 100K,3079,Bestaande bouw,B
1935.0,4.0,3.0,6.0,88.0,2.0,0.0,0.0,26.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,7744.0,2288.0,88.0,67964831440.01729,0.0,88.0,0.0,88.0,0.0,0.0,0.0,0.0,352.0,1.4142135623730951,0.0,88.0,7744.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30,150K-200K,3039,Bestaande bouw,G
1950.0,4.0,3.0,12.0,68.0,1.0,0.0,0.0,15.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4624.0,1020.0,68.0,61144625651.5035,0.0,68.0,0.0,68.0,0.0,0.0,0.0,0.0,272.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,100K-150K,3028,Bestaande bouw,E
2008.0,6.0,5.0,0.0,136.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,18496.0,3264.0,136.0,94419257223.2851,0.0,136.0,18496.0,136.0,0.0,0.0,0.0,1.0,816.0,0.0,136.0,136.0,18496.0,0.0,0.0,136.0,0.0,136.0,18496.0,0.0,0.0,136.0,0.0,1.0,32,> 300K,3059,Bestaande bouw,A
1984.0,4.0,3.0,0.0,100.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,10000.0,2300.0,100.0,78095319040.0,0.0,100.0,10000.0,100.0,0.0,0.0,0.0,1.0,400.0,0.0,100.0,100.0,10000.0,0.0,0.0,100.0,0.0,100.0,10000.0,0.0,0.0,100.0,0.0,1.0,34,200K-300K,3069,Bestaande bouw,C
1938.0,4.0,3.0,0.0,90.0,0.0,0.0,149.0,34.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8100.0,3060.0,90.0,69053003444.47708,108621000.0,90.0,8100.0,0.0,0.0,0.0,0.0,0.0,360.0,1.4142135623730951,0.0,90.0,8100.0,0.0,0.0,90.0,2.0,90.0,8100.0,0.0,0.0,90.0,0.0,1.0,35,< 100K,3081,Bestaande bouw,D
2006.0,4.0,3.0,0.0,105.0,0.0,0.0,131.0,20.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11025.0,2100.0,105.0,82715602137.53268,151648875.0,105.0,11025.0,0.0,0.0,0.0,0.0,0.0,420.0,1.4142135623730951,0.0,105.0,11025.0,0.0,0.0,105.0,2.0,105.0,11025.0,0.0,0.0,105.0,0.0,1.0,36,150K-200K,3081,Bestaande bouw,A
1895.0,3.0,2.0,0.0,100.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,10000.0,3100.0,0.0,68049923750.0,0.0,100.0,10000.0,100.0,0.0,0.0,0.0,1.0,300.0,0.0,100.0,100.0,10000.0,0.0,0.0,100.0,0.0,100.0,10000.0,0.0,0.0,100.0,0.0,1.0,37,> 300K,3056,Bestaande bouw,G
