year,total_rooms,bedrooms,n_weeks_old,living_area,other_area,total_area,monthly_contrib,n_photos,n_photos_360,other_indoor_space,located_on,own_ground,flg_missing_year,flg_missing_total_rooms,flg_missing_bedrooms,flg_missing_n_weeks_old,flg_missing_living_area,flg_missing_other_area,flg_missing_total_area,flg_missing_monthly_contrib,flg_missing_n_photos,flg_missing_n_photos_360,flg_missing_type_of_construction,flg_missing_other_indoor_space,flg_missing_located_on,flg_missing_own_ground,bedrooms**2,bedrooms**3,n_photos**3,located_on**3,living_area**2,total_rooms**3,sqrt(other_area),sqrt(located_on),monthly_contrib**2,sqrt(other_indoor_space),other_indoor_space**3,other_area**2,total_area**3,id,price_category,zipcode,type_of_construction,energy_label
2008.0,6.0,5.0,0.0,136.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,25.0,125.0,13824.0,0.0,18496.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,> 300K,3059,Bestaande bouw,A
1984.0,4.0,3.0,0.0,100.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,9.0,27.0,12167.0,0.0,10000.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,200K-300K,3069,Bestaande bouw,C
1938.0,4.0,3.0,0.0,90.0,0.0,0.0,149.0,34.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,27.0,39304.0,8.0,8100.0,64.0,0.0,1.4142135623730951,22201.0,0.0,0.0,0.0,0.0,35,< 100K,3081,Bestaande bouw,D
2006.0,4.0,3.0,0.0,105.0,0.0,0.0,131.0,20.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,27.0,8000.0,8.0,11025.0,64.0,0.0,1.4142135623730951,17161.0,0.0,0.0,0.0,0.0,36,150K-200K,3081,Bestaande bouw,A
1895.0,3.0,2.0,0.0,100.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,8.0,29791.0,0.0,10000.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,> 300K,3056,Bestaande bouw,G
1940.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,100K-150K,3083,Bestaande bouw,G
0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,< 100K,3083,0,n
0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,< 100K,3055,Bestaande bouw,n
1979.0,4.0,3.0,0.0,126.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,9.0,27.0,46656.0,0.0,15876.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,200K-300K,3069,Bestaande bouw,C
1986.0,3.0,2.0,4.0,70.0,7.0,0.0,76.0,24.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,8.0,13824.0,64.0,4900.0,27.0,2.6457513110645907,2.0,5776.0,0.0,0.0,49.0,0.0,42,100K-150K,3067,Bestaande bouw,C
